"Comune";"Vino";"Atto";"Gazzetta Ufficiale";"Latitudine";"Longitudine";
"Annone Veneto";"Lison Classico";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7940990";"12.6835270";
"San Stino di Livenza";"Lison Classico";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7315843";"12.6836963";
"Cinto Caomaggiore";"Lison Classico";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8300185";"12.7836111";
"Castelcucco";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8317407";"11.8853333";
"Cornuda";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8317846";"12.0080604";
"Monfumo";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8310911";"11.9202637";
"Asolo";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7932962";"11.9128333";
"Borso del Grappa";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8207700";"11.7960860";
"Caerano di San Marco";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7862777";"12.0039259";
"Cavaso del Tomba";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8617407";"11.8995555";
"Crespano del Grappa";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8264259";"11.8348703";
"Crocetta del Montello";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8255760";"12.0356150";
"Fonte";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7849210";"11.8724490";
"Giavera del Montello";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7948518";"12.1695370";
"Maser";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8084629";"11.9761111";
"Montebelluna";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7775470";"12.0464467";
"Nervesa della Battaglia";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8231296";"12.2059444";
"Paderno del Grappa";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8294031";"11.8596419";
"Pederobba";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8779980";"11.9549530";
"Possagno";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8534444";"11.8742407";
"San Zenone degli Ezzelini";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7814259";"11.8382962";
"Volpago del Montello";"Montello Rosso";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7782962";"12.1154814";
"Arcade";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7845370";"12.2228333";
"Breda di Piave";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7248518";"12.3337777";
"Casale sul Sile";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.5989259";"12.3243888";
"Cessalto";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7140740";"12.6154814";
"Chiarano";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7300000";"12.5837592";
"Cimadolmo";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7845626";"12.3640065";
"Codogne";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8702109";"12.4308257";
"Fontanelle";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8370555";"12.4653333";
"Godega di Sant Urbano";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9307962";"12.3992222";
"Gorgo al Monticano";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7885424";"12.5523691";
"Mareno di Piave";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8408790";"12.3507100";
"Maserada sul Piave";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7499120";"12.3200280";
"Monastier di Treviso";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6508720";"12.4354010";
"Oderzo";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7812715";"12.4936280";
"Ormelle";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7803333";"12.4231481";
"Ponte di Piave";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7147450";"12.4645080";
"Ponzano Veneto";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7157010";"12.2026929";
"Portobuffole";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8562355";"12.5377327";
"Povegliano";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7610940";"12.2037683";
"Roncade";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6280609";"12.3747990";
"Salgareda";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7044850";"12.4921750";
"San Biagio di Callalta";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6854522";"12.3772170";
"San Fior";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9209530";"12.3574120";
"San Polo di Piave";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7925185";"12.3943888";
"Santa Lucia di Piave";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8450590";"12.2808070";
"Spresiano";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7794590";"12.2561040";
"Vazzola";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8427961";"12.3843074";
"Zenson di Piave";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6782360";"12.4895490";
"Carbonera";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6845370";"12.2854814";
"Casier";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6438800";"12.2957627";
"Gaiarine";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8795370";"12.4809629";
"Mansue";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8232096";"12.5354700";
"Mogliano Veneto";"Piave Malanotte";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.5613413";"12.2363309";
